shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
10157,43.7783727774,-79.6555382145,240008
10157,43.7785386806,-79.6550225216,240009
10157,43.7779739612,-79.6547009105,240010
10157,43.7779739612,-79.6547009105,250001
10157,43.7762335686,-79.6537098128,250002
10157,43.7762335686,-79.6537098128,260001
10157,43.7737507845,-79.6522968184,260002
10157,43.773299322,-79.652036083,260003
10157,43.7731660787,-79.651960796,260004
10157,43.7731660787,-79.651960796,270001
10157,43.7686445428,-79.6493811546,270002
10157,43.7671153357,-79.6485123296,270003
10157,43.7669375457,-79.6496195994,270004
10177,43.6768505744,-79.7946545665,10001
10177,43.6776467986,-79.7934861315,10002
10177,43.6777393426,-79.7932969498,10003
10177,43.677823794,-79.7930235704,10004
10177,43.6778565739,-79.79288769,10005
10177,43.6778565739,-79.79288769,20001
10177,43.6778988235,-79.7927106805,20002
10177,43.6780838914,-79.7917343513,20003
10177,43.6780954144,-79.7915467918,20004
10177,43.6780867653,-79.7913249009,20005
10177,43.6780485484,-79.7910316498,20006
10177,43.6780030295,-79.7908142213,20007
10177,43.6780030295,-79.7908142213,30001
10177,43.6780001977,-79.7908018724,30002
10177,43.6778567686,-79.790436301,30003
10177,43.6775237856,-79.7898561999,30004
10177,43.6773928504,-79.7896504159,30005
10177,43.6771132708,-79.7891821408,30006
10177,43.6771132708,-79.7891821408,40001
10177,43.6769088465,-79.7888388952,40002
10177,43.6766524523,-79.7884346698,40003
10177,43.676484206,-79.7882767838,40004
10177,43.6763127531,-79.7881561796,40005
10177,43.6758291658,-79.7878942351,40006
10177,43.6758291658,-79.7878942351,50001
10177,43.6756869925,-79.787817703,50002
10177,43.6759793452,-79.7867734845,50003
10177,43.6760753209,-79.7865693421,50004
10177,43.6763174142,-79.7862195908,50005
10177,43.6765667302,-79.7859565297,50006
10177,43.6765667302,-79.7859565297,60001
10177,43.6767519427,-79.7857617493,60002
10177,43.6770298569,-79.7853939002,60003
10177,43.6777779647,-79.7843664963,60004
10177,43.6777779647,-79.7843664963,70001
10177,43.677879123,-79.7842267494,70002
10177,43.6781222543,-79.7838906035,70003
10177,43.6784515396,-79.7835279023,70004
10177,43.67902023,-79.7829023126,70005
10177,43.6792853715,-79.7826041686,70006
10177,43.6792853715,-79.7826041686,80001
10177,43.6795798619,-79.7822719318,80002
10177,43.6801410526,-79.7816191763,80003
10177,43.6807258297,-79.7809832999,80004
10177,43.6808975171,-79.7807875237,80005
10177,43.6808975171,-79.7807875237,90001
10177,43.6812746878,-79.7803568232,90002
10177,43.6818996088,-79.7796866107,90003
10177,43.6821921442,-79.7793407371,90004
10177,43.6821921442,-79.7793407371,100001
10177,43.6823699842,-79.7791311793,100002
10177,43.6813961237,-79.7778172291,100003
10177,43.6813961237,-79.7778172291,110001
10177,43.6809201561,-79.7771755552,110002
10177,43.6801381707,-79.7761245008,110003
10177,43.6801381707,-79.7761245008,120001
10177,43.679823907,-79.7757016353,120002
10177,43.6787494701,-79.7742484148,120003
10177,43.6787494701,-79.7742484148,130001
10177,43.6786270481,-79.774083427,130002
10177,43.6780102469,-79.7732412254,130003
10177,43.6777973326,-79.7729503062,130004
10177,43.6777973326,-79.7729503062,140001
10177,43.6776821768,-79.7727913784,140002
10177,43.6773651872,-79.7723673623,140003
10177,43.6766312822,-79.7713539075,140004
10177,43.6766312822,-79.7713539075,150001
10177,43.6761295001,-79.7706595184,150002
10177,43.6746747755,-79.7686808284,150003
10177,43.6744417516,-79.7683630614,150004
10177,43.6744417516,-79.7683630614,160001
10177,43.6742388877,-79.768086857,160002
10177,43.6733658431,-79.7692881425,160003
10177,43.67291375,-79.7687776227,160004
10177,43.672681479,-79.7691148185,160005
10177,43.6714329163,-79.7708980526,160006
10177,43.6711835547,-79.770483873,160007
10177,43.6711650972,-79.7704420748,160008
10177,43.6711520141,-79.7703976861,160009
10177,43.6711479063,-79.7703506332,160010
10177,43.6711518336,-79.7702972141,160011
10177,43.6711674633,-79.7702435559,160012
10177,43.6711939488,-79.7701946378,160013
10177,43.6712293961,-79.7701418153,160014
10177,43.6714122472,-79.7698974344,160015
10177,43.6714122472,-79.7698974344,170001
10177,43.6714122472,-79.7698974344,170002
10177,43.6714122472,-79.7698974344,180001
10177,43.6724648935,-79.7684841262,180002
10177,43.6724943059,-79.7684562343,180003
10177,43.6725202245,-79.7684383377,180004
10177,43.6725470699,-79.768422903,180005
10177,43.6725731622,-79.7684211289,180006
10177,43.6726002482,-79.7684280177,180007
10177,43.6726210997,-79.7684412364,180008
10177,43.6726493131,-79.7684691902,180009
10177,43.67291375,-79.7687776227,180010
10177,43.6733658431,-79.7692881425,180011
10177,43.6742388877,-79.768086857,180012
10177,43.6746446148,-79.7686392678,180013
10177,43.6746446148,-79.7686392678,190001
10177,43.6746747755,-79.7686808284,190002
10177,43.6757740406,-79.7701755238,190003
10177,43.6757740406,-79.7701755238,200001
10177,43.6761295001,-79.7706595184,200002
10177,43.6777892978,-79.7688540824,200003
10177,43.6778943048,-79.7687390424,200004
10177,43.6778943048,-79.7687390424,210001
10177,43.679070751,-79.7674520471,210002
10177,43.6790983761,-79.7674254288,210003
10177,43.6793021525,-79.767201669,210004
10177,43.6793021525,-79.767201669,220001
10177,43.6807258469,-79.7656328821,220002
10177,43.6807258469,-79.7656328821,230001
10177,43.6809696458,-79.765363626,230002
10177,43.6817784302,-79.7644686509,230003
10177,43.6823915668,-79.7637997504,230004
10177,43.6825935353,-79.763576003,230005
10177,43.6829530117,-79.7631802851,230006
10177,43.6829530117,-79.7631802851,240001
10177,43.6830330893,-79.7630917917,240002
10177,43.6834076523,-79.7626759068,240003
10177,43.6839283672,-79.7621205338,240004
10177,43.6839283672,-79.7621205338,250001
10177,43.6840538699,-79.7619864379,250002
10177,43.6842433664,-79.7617753417,250003
10177,43.6850447312,-79.7608630512,250004
10177,43.6854526833,-79.7614514464,250005
10177,43.6859506783,-79.7621236088,250006
10177,43.6859506783,-79.7621236088,260001
10177,43.6862924136,-79.7625843442,260002
10177,43.6866447248,-79.7621924652,260003
10177,43.6868852495,-79.7625361734,260004
10177,43.6868991149,-79.762569389,260005
10177,43.6869067462,-79.7626089366,260006
10177,43.6869034678,-79.7626387824,260007
10177,43.6868886615,-79.7626849951,260008
10177,43.686858619,-79.7627377248,260009
10177,43.6867024011,-79.7629456618,260010
10177,43.6867024011,-79.7629456618,270001
10177,43.6867024011,-79.7629456618,270002
10177,43.6867024011,-79.7629456618,280001
10177,43.6866313929,-79.7630401783,280002
10177,43.6862924136,-79.7625843442,280003
10177,43.6866447248,-79.7621924652,280004
10177,43.6868021909,-79.7620167606,280005
10177,43.6869749061,-79.7618357783,280006
10177,43.6871547419,-79.7616472038,280007
10177,43.6872473128,-79.7614653871,280008
10177,43.6872910855,-79.7613503352,280009
10177,43.6873285971,-79.7612391342,280010
10177,43.6874064792,-79.7607821665,280011
10177,43.6874759226,-79.7603774841,280012
10177,43.687517233,-79.7601185514,280013
10177,43.6875191768,-79.7598827635,280014
10177,43.6874768358,-79.7596317582,280015
10177,43.6873999121,-79.7594298563,280016
10177,43.6873326228,-79.7592860728,280017
10177,43.6870345366,-79.7587003714,280018
10177,43.6873566589,-79.7583487924,280019
10177,43.6874589946,-79.7582374928,280020
10177,43.6874589946,-79.7582374928,290001
10177,43.6883043174,-79.7573130307,290002
10177,43.6885401289,-79.7570562793,290003
10177,43.6891950155,-79.7563392131,290004
10177,43.6891950155,-79.7563392131,300001
10177,43.6893151368,-79.756207686,300002
10177,43.6896043763,-79.7558964661,300003
10177,43.6902958656,-79.7551513187,300004
10177,43.690776931,-79.7547616688,300005
10177,43.6910224006,-79.7545654984,300006
10177,43.6910481951,-79.754536425,300007
10177,43.6910481951,-79.754536425,310001
10177,43.6918194743,-79.7536779133,310002
10177,43.692061443,-79.7534085961,310003
10177,43.6927636903,-79.7526606844,310004
10177,43.6927636903,-79.7526606844,320001
10177,43.692836666,-79.7525822366,320002
10177,43.6935315434,-79.7518195674,320003
10177,43.6935315434,-79.7518195674,330001
10177,43.6937219473,-79.7516108683,330002
10177,43.6940395456,-79.7512593053,330003
10177,43.6946392197,-79.7506015791,330004
10177,43.6954097574,-79.7497603533,330005
10177,43.6956327447,-79.7494851938,330006
10177,43.6960552406,-79.7490110548,330007
10177,43.6960552406,-79.7490110548,340001
10177,43.6973822939,-79.7475203447,340002
10177,43.6973822939,-79.7475203447,350001
10177,43.6988525271,-79.7458689754,350002
10177,43.69912196,-79.7455605504,350003
10177,43.69912196,-79.7455605504,360001
10177,43.6999747444,-79.7445871713,360002
10177,43.6999747444,-79.7445871713,370001
10177,43.7006532121,-79.7438110086,370002
10177,43.7015661291,-79.7428214299,370003
10177,43.7015661291,-79.7428214299,380001
10177,43.7018099258,-79.7425569506,380002
10177,43.7032852383,-79.7408828897,380003
10177,43.7032852383,-79.7408828897,390001
10177,43.7035555707,-79.7405756416,390002
10177,43.7045064679,-79.7395218716,390003
10177,43.7052198694,-79.7387324481,390004
10177,43.7054039604,-79.7385250397,390005
10177,43.7054332965,-79.7384909135,390006
10177,43.7057116553,-79.7381772692,390007
10177,43.7058913129,-79.7379761562,390008
10177,43.7066739434,-79.737097119,390009
10177,43.7082172965,-79.7353952901,390010
10177,43.7090381053,-79.7344694561,390011
10177,43.7081827671,-79.7331717789,390012
10177,43.7081827671,-79.7331717789,400001
10177,43.7079400932,-79.732804531,400002
10177,43.7074083235,-79.7320250987,400003
10177,43.7057121433,-79.7295251824,400004
10177,43.7057121433,-79.7295251824,410001
10177,43.7043472865,-79.7275136028,410002
10177,43.7047670979,-79.7270492255,410003
10177,43.7047670979,-79.7270492255,420001
10177,43.7060194434,-79.7256673747,420002
10177,43.7065071757,-79.7251580907,420003
10177,43.7065071757,-79.7251580907,430001
10177,43.7066326745,-79.7250275899,430002
10177,43.706912463,-79.7248454115,430003
10177,43.7071328397,-79.724745168,430004
10177,43.7072771169,-79.7246837731,430005
10177,43.7075161339,-79.7246402278,430006
10177,43.7078316656,-79.7245950596,430007
10177,43.7088944797,-79.7243850961,430008
10177,43.7092605036,-79.7241849422,430009
10177,43.7092605036,-79.7241849422,440001
10177,43.7095092833,-79.7240480939,440002
10177,43.709778794,-79.7238326067,440003
10177,43.7107395136,-79.7226243364,440004
10177,43.711258109,-79.7218971093,440005
10177,43.7115097209,-79.7216112339,440006
10177,43.7115097209,-79.7216112339,450001
10177,43.7116484263,-79.721454367,450002
10177,43.711957773,-79.7211784316,450003
10177,43.712359834,-79.7208198372,450004
10177,43.7128546253,-79.7204605061,450005
10177,43.7132705927,-79.7202182885,450006
10177,43.7132705927,-79.7202182885,460001
10177,43.7133063772,-79.7201976659,460002
10177,43.7136837338,-79.7199649558,460003
10177,43.7137748979,-79.719904673,460004
10177,43.7144889626,-79.7194276947,460005
10177,43.7149130529,-79.7191070855,460006
10177,43.7152411119,-79.7187338986,460007
10177,43.7155130529,-79.7183345941,460008
10177,43.7156445754,-79.7180996566,460009
10177,43.7156445754,-79.7180996566,470001
10177,43.7156931103,-79.7180117267,470002
10177,43.716463612,-79.715745927,470003
10177,43.7167050686,-79.7154391141,470004
10177,43.7173142293,-79.7164452816,470005
10177,43.7173142293,-79.7164452816,480001
10177,43.7178931325,-79.7174037001,480002
10177,43.7174928467,-79.7178392798,480003
10177,43.7174928467,-79.7178392798,490001
10177,43.716935122,-79.7184470383,490002
10177,43.7176171639,-79.7196118282,490003
10177,43.7176171639,-79.7196118282,500001
10177,43.7183836351,-79.7209200933,500002
10177,43.7185961364,-79.7206797026,500003
10177,43.7186328101,-79.7207385103,500004
10177,43.7186896626,-79.7208304071,500005
10177,43.7188301113,-79.7210707377,500006
10177,43.7193414995,-79.7205049375,500007
10177,43.719324963,-79.720475495,500008
10177,43.7192083066,-79.7202694174,500009
10177,43.7187394887,-79.7207772072,500010
10177,43.7187394887,-79.7207772072,510001
10177,43.7187394887,-79.7207772072,510002
10177,43.7187394887,-79.7207772072,520001
10177,43.7186896626,-79.7208304071,520002
10177,43.7188301113,-79.7210707377,520003
10177,43.7189414207,-79.721281895,520004
10177,43.719562875,-79.7205747121,520005
10177,43.7197333129,-79.7205983965,520006
10177,43.7195322151,-79.7202488665,520007
10177,43.7192916443,-79.7198319004,520008
10177,43.7178931325,-79.7174037001,520009
10177,43.7191481086,-79.7160262499,520010
10177,43.719217764,-79.7159751049,520011
10177,43.719217764,-79.7159751049,530001
10177,43.7202626478,-79.715212881,530002
10177,43.7208238225,-79.7146732649,530003
10177,43.7210935226,-79.7143161622,530004
10177,43.7210935226,-79.7143161622,540001
10177,43.7216071777,-79.7136347766,540002
10177,43.7218914741,-79.7140147951,540003
10177,43.7218914741,-79.7140147951,550001
10177,43.7225697582,-79.7149214775,550002
10177,43.7231728407,-79.715706877,550003
10177,43.7237733011,-79.7164997974,550004
10177,43.7240018417,-79.7168065413,550005
10177,43.7240018417,-79.7168065413,560001
10177,43.7244772304,-79.7174469593,560002
10177,43.7250864052,-79.7167709714,560003
10177,43.7250864052,-79.7167709714,570001
10177,43.7257071385,-79.716082307,570002
10177,43.7275639529,-79.7140200677,570003
10177,43.7281313015,-79.7133896031,570004
10177,43.7286790386,-79.7127769294,570005
10177,43.7286790386,-79.7127769294,580001
10177,43.7300039176,-79.7112958155,580002
10177,43.7314754675,-79.7096488258,580003
10177,43.7324490883,-79.7085600526,580004
10177,43.7332421972,-79.7076725603,580005
10177,43.7340681974,-79.706748326,580006
10177,43.7346512426,-79.7060764074,580007
10177,43.7346512426,-79.7060764074,590001
10177,43.7362821382,-79.7041959938,590002
10177,43.7362821382,-79.7041959938,600001
10177,43.73848713,-79.7016535996,600002
10177,43.73848713,-79.7016535996,610001
10177,43.7387946356,-79.7012992398,610002
10177,43.740342793,-79.6995134956,610003
10177,43.7404920982,-79.6993413689,610004
10177,43.7404920982,-79.6993413689,620001
10177,43.7435545663,-79.6958100604,620002
10177,43.744019212,-79.69526221,620003
10177,43.744019212,-79.69526221,630001
10177,43.746157567,-79.69273675,630002
10177,43.7459239694,-79.6923083824,630003
10177,43.7456068309,-79.6918184968,630004
10177,43.7456068309,-79.6918184968,640001
10177,43.7455747427,-79.6917682747,640002
10177,43.7451723245,-79.6913796104,640003
10177,43.7437183904,-79.6905307537,640004
10177,43.7437183904,-79.6905307537,650001
10177,43.7425835115,-79.6898674741,650002
10177,43.7425835115,-79.6898674741,660001
10177,43.7422780379,-79.6896890925,660002
10177,43.7419590263,-79.6906076065,660003
10177,43.7418583247,-79.6908556975,660004
10177,43.7417225734,-79.6911095191,660005
10177,43.7416360787,-79.6912616729,660006
10177,43.7414771356,-79.6915346262,660007
10177,43.7413797815,-79.6916820478,660008
10177,43.7411885454,-79.6919656369,660009
10177,43.7411885454,-79.6919656369,670001
10177,43.741137189,-79.6920412683,670002
10177,43.7409277357,-79.6923066235,670003
10177,43.7405245418,-79.6928730008,670004
10178,43.6768505744,-79.7946545665,10001
10178,43.6776467986,-79.7934861315,10002
10178,43.6777393426,-79.7932969498,10003
10178,43.677823794,-79.7930235704,10004
10178,43.6778565739,-79.79288769,10005
10178,43.6778565739,-79.79288769,20001
10178,43.6778988235,-79.7927106805,20002
10178,43.6780838914,-79.7917343513,20003
10178,43.6780954144,-79.7915467918,20004
10178,43.6780867653,-79.7913249009,20005
10178,43.6780485484,-79.7910316498,20006
10178,43.6780030295,-79.7908142213,20007
10178,43.6780030295,-79.7908142213,30001
10178,43.6780001977,-79.7908018724,30002
10178,43.6778567686,-79.790436301,30003
10178,43.6775237856,-79.7898561999,30004
10178,43.6773928504,-79.7896504159,30005
10178,43.6771132708,-79.7891821408,30006
10178,43.6771132708,-79.7891821408,40001
10178,43.6769088465,-79.7888388952,40002
10178,43.6766524523,-79.7884346698,40003
10178,43.676484206,-79.7882767838,40004
10178,43.6763127531,-79.7881561796,40005
10178,43.6758291658,-79.7878942351,40006
10178,43.6758291658,-79.7878942351,50001
10178,43.6756869925,-79.787817703,50002
10178,43.6759793452,-79.7867734845,50003
10178,43.6760753209,-79.7865693421,50004
10178,43.6763174142,-79.7862195908,50005
10178,43.6765667302,-79.7859565297,50006
10178,43.6765667302,-79.7859565297,60001
10178,43.6767519427,-79.7857617493,60002
10178,43.6770298569,-79.7853939002,60003
10178,43.6777779647,-79.7843664963,60004
10178,43.6777779647,-79.7843664963,70001
10178,43.677879123,-79.7842267494,70002
10178,43.6781222543,-79.7838906035,70003
10178,43.6784515396,-79.7835279023,70004
10178,43.67902023,-79.7829023126,70005
10178,43.6792853715,-79.7826041686,70006
10178,43.6792853715,-79.7826041686,80001
10178,43.6795798619,-79.7822719318,80002
10178,43.6801410526,-79.7816191763,80003
10178,43.6807258297,-79.7809832999,80004
10178,43.6808975171,-79.7807875237,80005
10178,43.6808975171,-79.7807875237,90001
10178,43.6812746878,-79.7803568232,90002
10178,43.6818996088,-79.7796866107,90003
10178,43.6821921442,-79.7793407371,90004
10178,43.6821921442,-79.7793407371,100001
10178,43.6823699842,-79.7791311793,100002
10178,43.6813961237,-79.7778172291,100003
10178,43.6813961237,-79.7778172291,110001
10178,43.6809201561,-79.7771755552,110002
10178,43.6801381707,-79.7761245008,110003
10178,43.6801381707,-79.7761245008,120001
10178,43.679823907,-79.7757016353,120002
10178,43.6787494701,-79.7742484148,120003
10178,43.6787494701,-79.7742484148,130001
10178,43.6786270481,-79.774083427,130002
10178,43.6780102469,-79.7732412254,130003
10178,43.6777973326,-79.7729503062,130004
10178,43.6777973326,-79.7729503062,140001
10178,43.6776821768,-79.7727913784,140002
10178,43.6773651872,-79.7723673623,140003
10178,43.6766312822,-79.7713539075,140004
10178,43.6766312822,-79.7713539075,150001
10178,43.6761295001,-79.7706595184,150002
10178,43.6777892978,-79.7688540824,150003
10178,43.6778943048,-79.7687390424,150004
10178,43.6778943048,-79.7687390424,160001
10178,43.679070751,-79.7674520471,160002
10178,43.6790983761,-79.7674254288,160003
10178,43.6793021525,-79.767201669,160004
10178,43.6793021525,-79.767201669,170001
10178,43.6807258469,-79.7656328821,170002
10178,43.6807258469,-79.7656328821,180001
10178,43.6809696458,-79.765363626,180002
10178,43.6817784302,-79.7644686509,180003
10178,43.6823915668,-79.7637997504,180004
10178,43.6825935353,-79.763576003,180005
10178,43.6829530117,-79.7631802851,180006
10178,43.6829530117,-79.7631802851,190001
10178,43.6830330893,-79.7630917917,190002
10178,43.6834076523,-79.7626759068,190003
10178,43.6839283672,-79.7621205338,190004
10178,43.6839283672,-79.7621205338,200001
10178,43.6840538699,-79.7619864379,200002
10178,43.6842433664,-79.7617753417,200003
10178,43.6850447312,-79.7608630512,200004
10178,43.6854526833,-79.7614514464,200005
10178,43.6859506783,-79.7621236088,200006
10178,43.6859506783,-79.7621236088,210001
10178,43.6862924136,-79.7625843442,210002
10178,43.6866447248,-79.7621924652,210003
10178,43.6868852495,-79.7625361734,210004
10178,43.6868991149,-79.762569389,210005
10178,43.6869067462,-79.7626089366,210006
10178,43.6869034678,-79.7626387824,210007
10178,43.6868886615,-79.7626849951,210008
10178,43.686858619,-79.7627377248,210009
10178,43.6867024011,-79.7629456618,210010
10178,43.6867024011,-79.7629456618,220001
10178,43.6867024011,-79.7629456618,220002
10178,43.6867024011,-79.7629456618,230001
10178,43.6866313929,-79.7630401783,230002
10178,43.6862924136,-79.7625843442,230003
10178,43.6866447248,-79.7621924652,230004
10178,43.6868021909,-79.7620167606,230005
10178,43.6869749061,-79.7618357783,230006
10178,43.6871547419,-79.7616472038,230007
10178,43.6872473128,-79.7614653871,230008
10178,43.6872910855,-79.7613503352,230009
10178,43.6873285971,-79.7612391342,230010
10178,43.6874064792,-79.7607821665,230011
10178,43.6874759226,-79.7603774841,230012
10178,43.687517233,-79.7601185514,230013
10178,43.6875191768,-79.7598827635,230014
10178,43.6874768358,-79.7596317582,230015
10178,43.6873999121,-79.7594298563,230016
10178,43.6873326228,-79.7592860728,230017
10178,43.6870345366,-79.7587003714,230018
10178,43.6873566589,-79.7583487924,230019
10178,43.6874589946,-79.7582374928,230020
10178,43.6874589946,-79.7582374928,240001
10178,43.6883043174,-79.7573130307,240002
10178,43.6885401289,-79.7570562793,240003
10178,43.6891950155,-79.7563392131,240004
10178,43.6891950155,-79.7563392131,250001
10178,43.6893151368,-79.756207686,250002
10178,43.6896043763,-79.7558964661,250003
10178,43.6902958656,-79.7551513187,250004
10178,43.690776931,-79.7547616688,250005
10178,43.6910224006,-79.7545654984,250006
10178,43.6910481951,-79.754536425,250007
10178,43.6910481951,-79.754536425,260001
10178,43.6918194743,-79.7536779133,260002
10178,43.692061443,-79.7534085961,260003
10178,43.6927636903,-79.7526606844,260004
10178,43.6927636903,-79.7526606844,270001
10178,43.692836666,-79.7525822366,270002
10178,43.6935315434,-79.7518195674,270003
10178,43.6935315434,-79.7518195674,280001
10178,43.6937219473,-79.7516108683,280002
10178,43.6940395456,-79.7512593053,280003
10178,43.6946392197,-79.7506015791,280004
10178,43.6954097574,-79.7497603533,280005
10178,43.6956327447,-79.7494851938,280006
10178,43.6960552406,-79.7490110548,280007
10178,43.6960552406,-79.7490110548,290001
10178,43.6973822939,-79.7475203447,290002
10178,43.6973822939,-79.7475203447,300001
10178,43.6988525271,-79.7458689754,300002
10178,43.69912196,-79.7455605504,300003
10178,43.69912196,-79.7455605504,310001
10178,43.6999747444,-79.7445871713,310002
10178,43.6999747444,-79.7445871713,320001
10178,43.7006532121,-79.7438110086,320002
10178,43.7015661291,-79.7428214299,320003
10178,43.7015661291,-79.7428214299,330001
10178,43.7018099258,-79.7425569506,330002
10178,43.7032852383,-79.7408828897,330003
10178,43.7032852383,-79.7408828897,340001
10178,43.7035555707,-79.7405756416,340002
10178,43.7045064679,-79.7395218716,340003
10178,43.7052198694,-79.7387324481,340004
10178,43.7054039604,-79.7385250397,340005
10178,43.7054332965,-79.7384909135,340006
10178,43.7057116553,-79.7381772692,340007
10178,43.7058913129,-79.7379761562,340008
10178,43.7066739434,-79.737097119,340009
10178,43.7082172965,-79.7353952901,340010
10178,43.7090381053,-79.7344694561,340011
10178,43.7081827671,-79.7331717789,340012
10178,43.7081827671,-79.7331717789,350001
10178,43.7079400932,-79.732804531,350002
10178,43.7074083235,-79.7320250987,350003
10178,43.7057121433,-79.7295251824,350004
10178,43.7057121433,-79.7295251824,360001
10178,43.7043472865,-79.7275136028,360002
10178,43.7047670979,-79.7270492255,360003
10178,43.7047670979,-79.7270492255,370001
10178,43.7060194434,-79.7256673747,370002
10178,43.7065071757,-79.7251580907,370003
10178,43.7065071757,-79.7251580907,380001
10178,43.7066326745,-79.7250275899,380002
10178,43.706912463,-79.7248454115,380003
10178,43.7071328397,-79.724745168,380004
10178,43.7072771169,-79.7246837731,380005
10178,43.7075161339,-79.7246402278,380006
10178,43.7078316656,-79.7245950596,380007
10178,43.7088944797,-79.7243850961,380008
10178,43.7092605036,-79.7241849422,380009
10178,43.7092605036,-79.7241849422,390001
10178,43.7095092833,-79.7240480939,390002
10178,43.709778794,-79.7238326067,390003
10178,43.7107395136,-79.7226243364,390004
10178,43.711258109,-79.7218971093,390005
10178,43.7115097209,-79.7216112339,390006
10178,43.7115097209,-79.7216112339,400001
10178,43.7116484263,-79.721454367,400002
10178,43.711957773,-79.7211784316,400003
10178,43.712359834,-79.7208198372,400004
10178,43.7128546253,-79.7204605061,400005
10178,43.7132705927,-79.7202182885,400006
10178,43.7132705927,-79.7202182885,410001
10178,43.7133063772,-79.7201976659,410002
